word,phonetic,translation,example,example_translation,level,difficulty,topic,subtopic,exam_tags,part_of_speech
surveyor,/sərˈveɪər/,測量師，檢驗員,A land surveyor mapped the property boundary line.,土地測量師詳細勘測並繪製了該地產的地界線。,Intermediate,3,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",n.
hazard,/ˈhæzərd/,危險，危害物,Chemical spills present a serious workplace health hazard.,化學品洩漏會造成嚴重的工作場所安全危害。,Beginner,2,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",n.
sanitation,/ˌsænɪˈteɪʃn/,公共衛生，環境衛生,Restaurants must comply with rigid government sanitation rules.,餐飲業者必須嚴格遵守政府的食品環境衛生規範。,Intermediate,3,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",n.
evacuation,/ɪˌvækjuˈeɪʃn/,疏散，撤離,Security staff led a smooth building evacuation drill.,保全人員引導了一次流暢的大樓疏散避難演習。,Beginner,2,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",n.
contamination,/kənˌtæmɪˈneɪʃn/,污染，弄髒,Water filtration units prevent biological contamination.,水質過濾設備能有效防止生物性雜質污染。,Intermediate,3,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",n.
ergonomics,/ˌɜːrɡəˈnɑːmɪks/,工效學，人體工程學,Office ergonomics workshops teach correct sitting posture.,辦公室人體工學講座傳授員工正確的坐姿觀念。,Intermediate,3,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",n.
pollutant,/pəˈluːtənt/,污染物,Factory scrubbers filter toxic industrial air pollutants.,工廠洗滌塔能過濾排放的有毒工業空氣污染物。,Intermediate,3,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",n.
safeguard,/ˈseɪfɡɑːrd/,防護措施，保護,Install protective software to safeguard corporate assets.,安裝防護軟體以保障公司核心資產的安全。,Beginner,2,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",n.
hygiene,/ˈhaɪdʒiːn/,衛生，清潔習慣,Food handlers must maintain impeccable personal hygiene.,食品從業人員必須隨時保持無可挑剔的個人衛生。,Beginner,2,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",n.
ability,/əˈbɪɫəˌti/,能力，才能,The candidate's ability to manage projects effectively impressed the hiring manager.,這位候選人有效管理專案的能力讓招聘經理印象深刻。,Beginner,1,HumanResources,Recruitment,"TOEIC,Reading,Part5,Part7",n.
able,/ˈeɪbəɫ/,有能力，能夠,The candidate is able to manage multiple projects simultaneously.,這位候選人能夠同時管理多個專案。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",adj./adv.
about,/əˈbaʊt/,關於,The meeting is about the new marketing strategy.,這次會議是關於新的行銷策略。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",preposition/adv.
above,/əˈbəv/,在...上方,The temperature is expected to rise above 30 degrees Celsius today.,今天氣溫預計會升至攝氏30度以上。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",preposition/adv.
abroad,/əˈbɹɔd/,在國外,The company is expanding its operations abroad.,該公司正在海外擴展業務。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",adv./preposition
absent,/ˈæbsənt/,缺席的,The employee was absent from the meeting due to a family emergency.,這位員工因家裡突發狀況缺席會議。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",adj./adv.
absolutely,/ˌæbsəˈɫutɫi/,完全地,I absolutely agree with your proposal to streamline the workflow.,我完全同意你簡化工作流程的建議。,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",adv.
accepted,"/ækˈsɛptɪd/, /əkˈsɛptɪd/",被接受,The proposal was accepted by the board of directors.,該提案已獲得董事會的批准。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",adj.
accident,/ˈæksədənt/,意外事故,The company is investigating the accident to determine the cause and prevent future incidents.,公司正在調查這起意外事故，以確定原因並防止未來發生類似事件。,Beginner,1,Corporate,Contracts,"TOEIC,Reading,Part5,Part7",n.
according,/əˈkɔɹdɪŋ/,根據,The project timeline is according to the client's specifications.,專案時間表依照客戶的規格。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",adv./preposition
accountant,/əˈkaʊntənt/,會計師,The company hired an accountant to manage their financial records.,公司聘請了一位會計師來管理他們的財務記錄。,Beginner,1,Finance,Accounting,"TOEIC,Reading,Part5,Part7",n.
accounting,"/əˈkaʊnɪŋ/, /əˈkaʊntɪŋ/",會計,The accounting department will finalize the quarterly financial statements by Friday.,會計部門將於週五完成本季財務報表的最終整理。,Beginner,1,Finance,Accounting,"TOEIC,Reading,Part5,Part7",n.
accounts,/əˈkaʊnts/,帳戶,The auditor will review the company's accounts to ensure accuracy.,審計師將審查公司的帳戶，以確保準確性。,Beginner,1,Finance,Accounting,"TOEIC,Reading,Part5,Part7",n.
across,/əˈkɹɔs/,橫跨,The new bridge will allow employees to walk across the street to the office building.,新的橋樑將允許員工橫過馬路前往辦公大樓。,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",preposition/adv.
action,/ˈækʃən/,行動,The project manager outlined the next actions required to meet the deadline.,專案經理說明了為了趕上截止日期所需採取的下一步行動。,Beginner,1,Corporate,Operations,"TOEIC,Reading,Part5,Part7",n./v.
active,/ˈæktɪv/,積極的,The company is actively seeking new markets to expand its business.,該公司正積極尋找新的市場以擴展其業務。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",adj./v.
actively,/ˈæktɪvɫi/,積極地,The company is actively seeking new talent to join its team.,該公司正積極尋找新人才加入其團隊。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",adv.
activities,"/ækˈtɪvətiz/, /ækˈtɪvɪtiz/",活動,The company organizes team-building activities to improve employee morale.,公司組織團隊建設活動以提升員工士氣。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n.
activity,"/ækˈtɪvəti/, /ækˈtɪvɪti/",活動,The company organized a team-building activity to improve employee morale.,公司組織了一項團隊建設活動以提升員工士氣。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n.
actor,/ˈæktɝ/,演員,The company hired a well-known actor to endorse their new product.,該公司聘請了一位知名的演員來代言他們的新產品。,Beginner,1,Marketing,Sales,"TOEIC,Reading,Part5,Part7",n.
actual,"/ˈækʃəɫ/, /ˈæktʃəwəɫ/",實際的,The actual cost of the project exceeded the initial budget by 15%.,專案的實際成本比最初預算高出 15%。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",adj.
actually,"/ˈækˌtʃuəɫi/, /ˈækʃəɫi/, /ˈæktʃɫi/",實際上,"Actually, the project deadline has been extended to next Friday.",實際上，這個專案的截止日期已經延遲到下週五。,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",adv.
ad,/ˈæd/,廣告,We need to run an ad in the local newspaper to promote our new product.,我們需要在當地報紙上刊登一則廣告來推廣我們的新產品。,Beginner,1,Marketing,Sales,"TOEIC,Reading,Part5,Part7",n.
add,/ˈæd/,增加,Could you please add this item to the purchase order?,您能請將此項目加入購買訂單嗎？,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",v.
adding,/ˈædɪŋ/,增加,The company is adding new features to its software to improve user experience.,該公司正在為其軟體新增功能，以改善使用者體驗。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",v./adj.
addition,/əˈdɪʃən/,加法,"The project budget requires an addition of $5,000 for unexpected expenses.","專案預算需要額外增加 5,000 美元以應付 непредвиденные расходы。",Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n.
additional,"/əˈdɪʃənəɫ/, /əˈdɪʃnəɫ/",額外的,The company is offering an additional 10% discount for loyal customers.,公司為忠誠客戶提供額外 10% 的折扣。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",adj./adv.
address,"/ˈæˌdɹɛs/, /əˈdɹɛs/",地址,Please send the invoice to the following address.,請將發票寄至以下地址。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n./v.
adds,/ˈædz/,增加,The software update adds several new features to improve user experience.,這項軟體更新增加了幾個新功能，以提升使用者體驗。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",v.
ads,/ˈædz/,廣告,The company launched a series of online ads to promote its new product.,該公司推出一系列線上廣告以推廣其新產品。,Beginner,1,Marketing,Sales,"TOEIC,Reading,Part5,Part7",n.
adult,"/ˈædəɫt/, /əˈdəɫt/",成年人,The company offers a comprehensive benefits package for all adult employees.,公司為所有成年員工提供全面的福利方案。,Beginner,1,HumanResources,Recruitment,"TOEIC,Reading,Part5,Part7",n.
advantage,/ædˈvæntɪdʒ/,優勢,Having a strong network can be a significant advantage in the job market.,擁有強大的社交網絡在就業市場上可能是一個顯著的優勢。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n./v.
advantages,/ædˈvæntɪdʒɪz/,優勢,Our company's main advantage is our commitment to providing high-quality products.,我們公司的主要優勢是我們致力於提供高品質的產品。,Beginner,1,Corporate,Operations,"TOEIC,Reading,Part5,Part7",n.
advertised,"/ˈædvɝˌtaɪzd/, /ˌædvɝˈtaɪzd/",已做廣告的,The company's new product was heavily advertised on television and online.,該公司的最新產品在電視和線上大力宣傳。,Beginner,1,Marketing,Sales,"TOEIC,Reading,Part5,Part7",adj.
advertisement,"/ˌædvɝˈtaɪzmənt/, /ædˈvɝtəzmənt/",廣告,The company launched a new advertisement campaign to boost sales.,該公司推出了一項新的廣告活動以提高銷售額。,Beginner,1,Marketing,Sales,"TOEIC,Reading,Part5,Part7",n.
advertisements,/ˈædvɝˌtaɪzmənts/,廣告,The company launched a series of advertisements to promote its new product line.,該公司推出一系列廣告，以推廣其新產品線。,Beginner,1,Marketing,Sales,"TOEIC,Reading,Part5,Part7",n.
advertising,/ˈædvɝˌtaɪzɪŋ/,廣告,The company invested heavily in advertising to boost sales during the holiday season.,為了在節假日期間提高銷售額，該公司投入了大量資金進行廣告宣傳。,Beginner,1,Marketing,Sales,"TOEIC,Reading,Part5,Part7",n.
advice,"/ædˈvaɪs/, /ədˈvaɪs/",建議,I would appreciate your advice on how to negotiate a better deal with the supplier.,我會很感激您能給我一些關於如何與供應商談判更好協議的建議。,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",n./v.
affect,/əˈfɛkt/,影響,The recent economic downturn has significantly affected the company's profits.,最近的經濟衰退對公司的利潤產生了顯著影響。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",v.
afford,/əˈfɔɹd/,負擔得起,The company can afford to invest in new technology to improve efficiency.,公司有能力投資新技術來提高效率。,Beginner,1,Finance,Accounting,"TOEIC,Reading,Part5,Part7",v.
affordable,/əˈfɔɹdəbəɫ/,價格實惠的,We're looking for an affordable supplier of raw materials to reduce production costs.,我們正在尋找一家價格實惠的原材料供應商，以降低生產成本。,Beginner,1,Corporate,Logistics,"TOEIC,Reading,Part5,Part7",adj.
afraid,/əˈfɹeɪd/,害怕，擔心，通常指對潛在風險或負面結果的恐懼。,I'm afraid I won't be able to meet the deadline due to unforeseen circumstances.,恐怕由於一些不可預見的情況，我無法按時完成任務。,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",adj./adv.
after,/ˈæftɝ/,在...之後,Let's discuss this after the meeting.,我們在會議結束後討論這件事吧。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",preposition/adv.
afternoon,/ˌæftɝˈnun/,下午,I have a meeting scheduled for this afternoon.,我今天下午有一個會議。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n.
again,"/əˈɡeɪn/, /əˈɡɛn/",再次,Could you please repeat that again?,你可以再重複一次嗎？,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",adv.
against,"/əˈɡeɪnst/, /əˈɡɛnst/",對抗,The company is taking legal action against the supplier for breach of contract.,該公司因違反合約而對供應商採取法律行動。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",preposition/adv.
age,/ˈeɪdʒ/,年齡,The company has a policy of not discriminating based on age.,公司有不因年齡而歧視的政策。,Beginner,1,HumanResources,Recruitment,"TOEIC,Reading,Part5,Part7",n.
agency,/ˈeɪdʒənsi/,經紀公司,Our company uses a recruitment agency to find qualified candidates for the marketing position.,我們公司使用招聘機構來為行銷職位尋找合格的候選人。,Beginner,1,HumanResources,Recruitment,"TOEIC,Reading,Part5,Part7",n.
agent,/ˈeɪdʒənt/,代表，代理人,Our travel agent booked our flights and hotel.,我們的旅行社代理人幫我們預訂了機票和酒店。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n.
ago,/əˈɡoʊ/,…以前,The project was completed three months ago.,這個專案是三個月前完成的。,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",adv.
agreed,/əˈɡɹid/,同意,The board of directors agreed to the proposed merger.,董事會同意了這項擬定的合併案。,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",v./adj.
agreeing,/əˈɡɹiɪŋ/,表示贊同或同意的狀態或動作。,The board members were generally agreeing with the proposed merger.,董事會成員普遍對擬議的合併表示贊同。,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",adj./v.
agreement,/əˈɡɹimənt/,協議,Both parties signed the agreement to finalize the deal.,雙方簽署協議以完成交易。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n.
agreements,/əˈɡɹimənts/,協議,Both parties must sign the agreements before the project can begin.,專案開始前，雙方必須簽署協議。,Beginner,1,Corporate,Logistics,"TOEIC,Reading,Part5,Part7",n.
agrees,/əˈɡɹiz/,同意,The board of directors agrees with the proposed merger.,董事會同意這項擬定的合併案。,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",v.
ahead,/əˈhɛd/,在...之前,The project is currently ahead of schedule and we expect to complete it by next week.,該專案目前進度領先，我們預計下週完成。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",adv./preposition
air,/ˈɛɹ/,空氣,The company is investing in air purification systems to improve indoor air quality.,公司正在投資空氣淨化系統以改善室內空氣品質。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n./v.
airline,/ˈɛɹˌɫaɪn/,航空公司,Our company has a partnership with several major airlines to offer discounted travel packages.,我們公司與多家主要航空公司合作，提供折扣旅遊套裝。,Beginner,1,Travel,Transit,"TOEIC,Reading,Part5,Part7",n.
airlines,/ˈɛɹˌɫaɪnz/,航空公司,Several airlines have announced fare reductions for the upcoming holiday season.,多家航空公司已宣布即將到來的假期期間的票價降低。,Beginner,1,Travel,Transit,"TOEIC,Reading,Part5,Part7",n.
airplane,/ˈɛɹˌpɫeɪn/,飛機，一種用於空中運輸人員或貨物的交通工具。,The company is considering purchasing a new airplane to expand its international routes.,公司正在考慮購買一架新飛機以擴展其國際航線。,Beginner,1,Travel,Transit,"TOEIC,Reading,Part5,Part7",n.
airport,/ˈɛɹˌpɔɹt/,機場，是飛機起降及旅客搭乘的設施。,The flight is scheduled to depart from Narita Airport at 10:00 AM.,這趟航班預計在上午 10:00 從成田機場起飛。,Beginner,1,Travel,Transit,"TOEIC,Reading,Part5,Part7",n.
airports,/ˈɛɹˌpɔɹts/,機場，通常指國際或國內航空運輸的樞紐。,The company is expanding its operations to several major airports worldwide.,公司正在擴展其業務到世界幾個主要的機場。,Beginner,1,Travel,Transit,"TOEIC,Reading,Part5,Part7",n.
all,/ˈɔɫ/,所有，全部,All the employees are required to attend the mandatory training session.,所有員工都必須參加強制性的培訓課程。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",determiner/pronoun
allow,/əˈɫaʊ/,允許,The manager will allow employees to work from home on Fridays.,經理將允許員工在星期五在家工作。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",v.
allowed,/əˈɫaʊd/,被允許的,"All employees are allowed to work remotely on Fridays, provided they meet the security requirements.",只要符合安全要求，所有員工在星期五都被允許遠端工作。,Beginner,1,Corporate,Contracts,"TOEIC,Reading,Part5,Part7",v./adj.
allowing,/əˈɫaʊɪŋ/,允許,The company policy allows employees to work remotely up to three days a week.,公司政策允許員工每週最多遠端工作三天。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",v.
allows,/əˈɫaʊz/,允許,The company's policy allows employees to work remotely two days a week.,公司的政策允許員工每週在家工作兩天。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",v.
almost,/ˈɔɫˌmoʊst/,幾乎,"The project is almost complete, and we expect to launch it next week.",這個專案幾乎完成了，我們預計下週將會推出。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",adv.
alone,/əˈɫoʊn/,獨自一人,The manager felt alone in his decision to restructure the department.,經理在重組部門的決定中感到孤單。,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",adj./adv.
along,/əˈɫɔŋ/,沿著,The project timeline will be adjusted along with the market trends.,專案時程將會隨著市場趨勢進行調整。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",preposition/adv.
already,"/ɔˈɹɛdi/, /ɔɫˈɹɛdi/",表示動作或情況已經發生，通常用於強調時間先後或完成。,"The report is already submitted, so please do not send a reminder.",報告已經提交，請不要發送提醒。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",adv.
alright,/ˌɔɫˈɹaɪt/,好的,Is everything alright with you?,你一切都還好嗎？,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",adj./adv.
also,/ˈɔɫsoʊ/,也,"She is a talented singer, and she also plays the piano.",她是一位才華洋溢的歌手，她也彈鋼琴。,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",adv.
although,/ˌɔɫˈðoʊ/,雖然,"Although the project faced some delays, the team managed to deliver it on time.",雖然專案遇到了一些延遲，但團隊還是成功地按時交付了它。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",conjunction
always,"/ˈɔɫˌweɪz/, /ˈɔɫwiz/",總是,She always double-checks her reports before submitting them.,她提交報告前總是會再三檢查。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",adv.
amazing,/əˈmeɪzɪŋ/,令人驚嘆的,The presentation was truly amazing; the data clearly demonstrated the project's success.,簡報非常令人驚嘆；數據清楚地展現了專案的成功。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",adj.
among,/əˈməŋ/,在...之中,She found her lost wallet among the piles of old newspapers.,她在舊報紙堆中找到了她遺失的錢包。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",preposition
amount,/əˈmaʊnt/,數量,The company reported a significant increase in the amount of sales this quarter.,本季公司報告銷售總額大幅增加。,Beginner,1,Finance,Accounting,"TOEIC,Reading,Part5,Part7",n.
amounts,/əˈmaʊnts/,數量,The company needs to review the amounts listed on the invoice to ensure accuracy.,公司需要審查發票上列出的金額，以確保準確性。,Beginner,1,Finance,Accounting,"TOEIC,Reading,Part5,Part7",n.
angry,/ˈæŋɡɹi/,憤怒,The manager was angry about the missed deadline and called an emergency meeting.,經理對於錯過期限感到憤怒，並召開了緊急會議。,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",adj.
announced,/əˈnaʊnst/,宣布,The CEO announced the company's record profits during the annual shareholders' meeting.,執行長在年度股東大會上宣布了公司創紀錄的利潤。,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",v.
announcement,"/əˈnaʊnsmənt/, /əˈnaʊnsmɛnt/",公告,The company made an announcement regarding the upcoming restructuring.,公司發布了關於即將進行的重組公告。,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",n.
announcing,/əˈnaʊnsɪŋ/,宣告,The company is announcing a new product launch next month.,公司將於下個月宣布推出新產品。,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",v./adj.
annual,/ˈænjuəɫ/,每年的,The company will hold its annual shareholders' meeting next Thursday.,公司將於下週四舉行年度股東大會。,Beginner,1,Corporate,Meetings,"TOEIC,Reading,Part5,Part7",adj.
another,/əˈnəðɝ/,另一個,Could you please give me another chance?,請再給我一次機會好嗎？,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",determiner/pronoun
answer,/ˈænsɝ/,回覆,Could you please answer the questionnaire before the meeting?,請在會議前填寫問卷並回覆。,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",n./v.
answering,/ˈænsɝɪŋ/,回應,The receptionist is responsible for answering phone calls and directing them to the appropriate department.,接待員負責接聽電話並將其轉至相關部門。,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",v./n.
answers,/ˈænsɝz/,答案,The project manager needs to review the team's answers to ensure accuracy.,專案經理需要審閱團隊的答案以確保準確性。,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",n./v.
any,/ˈɛni/,任何的，一些,Please let us know if you have any questions.,如果您有任何問題，請告訴我們。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",determiner/pronoun
anybody,/ˈɛnibədi/,任何人,Is anybody home?,家裡有人嗎？,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",pronoun
anymore,/ˌɛniˈmɔɹ/,不再，從今以後不再,We no longer offer free shipping; it's not included anymore.,我們不再提供免費運送服務，從現在開始已不包含在內。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",adv.
anyone,"/ˈɛniˌwən/, /ˈɛniwən/",任何人,Is there anyone who can speak fluent Spanish to assist our client?,請問有誰能流利地說西班牙語來協助我們的客戶嗎？,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",pronoun
anything,/ˈɛniˌθɪŋ/,任何事物,Is there anything I can do to help you with your presentation?,有什麼我可以幫你準備簡報的嗎？,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",pronoun/adv.
anytime,/ˈɛniˌtaɪm/,隨時,You can submit your expense report anytime before the end of the month.,您可以在月底前隨時提交您的費用報表。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",adv.
anyway,/ˈɛniˌweɪ/,無論如何,"The project is behind schedule, but anyway, we're making progress.",專案落後於原定進度，但總之，我們正在取得進展。,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",adv.
anywhere,"/ˈɛniˌwɛɹ/, /ˈɛnihˌwɛɹ/",任何地方,The manager said we could hold the meeting anywhere convenient for the team.,經理說我們可以選擇團隊方便的任何地方開會。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",adv.
apartment,/əˈpɑɹtmənt/,公寓,The company provides temporary apartments for relocating employees.,公司為調職員工提供臨時公寓住宿。,Beginner,1,Travel,Dining,"TOEIC,Reading,Part5,Part7",n.
apologies,/əˈpɑɫəˌdʒiz/,道歉,Please accept our apologies for the delay in shipment.,對於貨運延遲，敬請諒解，並接受我們的致歉。,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",n./v.
apologize,/əˈpɑɫəˌdʒaɪz/,對造成的不便或錯誤表示遺憾並說明原因，以維護關係或彌補過失。,We apologize for the delay in delivering your order and will expedite the shipment.,我們對訂單延遲表示歉意，並將加快出貨速度。,Beginner,1,Marketing,CustomerService,"TOEIC,Reading,Part5,Part7",v.
apology,/əˈpɑɫəˌdʒi/,道歉,The company issued an apology for the shipping delay.,該公司就運輸延誤發布了道歉聲明。,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",n./v.
app,/ˈæp/,應用程式，通常指手機或電腦上的軟體應用。,Our company is developing a new app to streamline the order processing system.,我們公司正在開發一個新的應用程式，以簡化訂單處理系統。,Beginner,1,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",n.
appear,/əˈpɪɹ/,出現,The error message appeared on the screen after the system update.,系統更新後，錯誤訊息出現在螢幕上。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",v.
appearance,/əˈpɪɹəns/,外觀,The candidate's professional appearance helped him secure the job.,這位候選人的專業外貌幫助他獲得了這份工作。,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",n.
appeared,/əˈpɪɹd/,出現,The error message appeared on the screen after the system update.,系統更新後，錯誤訊息出現在螢幕上。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",v.
applicants,/ˈæpɫɪkənts/,申請者,The HR department received over 200 applicants for the marketing manager position.,人力資源部門收到了超過 200 位應徵市場經理職位的申請者。,Beginner,1,HumanResources,Recruitment,"TOEIC,Reading,Part5,Part7",n.
application,/ˌæpɫəˈkeɪʃən/,申請,Please submit your job application by Friday.,請在星期五前提交您的求職申請。,Beginner,1,HumanResources,Recruitment,"TOEIC,Reading,Part5,Part7",n./v.
applications,/ˌæpɫəˈkeɪʃənz/,申請,The HR department is reviewing a large number of job applications.,人資部門正在審查大量的職位申請。,Beginner,1,HumanResources,Recruitment,"TOEIC,Reading,Part5,Part7",n.
applies,/əˈpɫaɪz/,塗抹,The company applies a strict quality control process to all products.,公司對所有產品都採用嚴格的品質管制流程。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",v.
applying,/əˈpɫaɪɪŋ/,申請或將某項規則，方法等實施於實務中,She is applying for the marketing manager position at the headquarters.,她正在總公司申請行銷經理的職位。,Beginner,1,HumanResources,Recruitment,"TOEIC,Reading,Part5,Part7",v.
appointment,/əˈpɔɪntmənt/,預約，約會,Please reschedule your appointment with Mr. Smith to next Tuesday.,請將您與史密斯先生的預約改到下週二。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n.
appointments,/əˈpɔɪntmənts/,預約,Please reschedule your appointment with Mr. Lee to next Tuesday.,請將您與李先生的預約改期至下週二。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n.
appreciates,/əˈpɹiʃiˌeɪts/,重視,The company appreciates your prompt response and valuable feedback.,公司感謝您迅速的回應和寶貴的意見回饋。,Beginner,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",v.
approach,/əˈpɹoʊtʃ/,靠近,The team needs to approach the project with a new strategy to improve efficiency.,團隊需要以新的策略來處理這個專案，以提高效率。,Advanced,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n./v.
approved,/əˈpɹuvd/,批准,The project proposal has been approved by the management team.,該專案提案已獲得管理團隊的批准。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",adj.
area,/ˈɛɹiə/,區域,The sales department needs to expand its area of responsibility.,銷售部門需要擴大其負責區域。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n.
areas,/ˈɛɹiəz/,區域,The company is expanding into new geographical areas to increase market share.,公司正在擴展到新的地理區域以增加市場份額。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n.
around,"/ɝˈaʊn/, /ɝˈaʊnd/",在…周圍,The new cafe is just around the corner from our office.,新咖啡館就在我們辦公室的轉角處。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",preposition/adv.
arranged,/ɝˈeɪndʒd/,安排,The meeting has been arranged for next Tuesday at 2:00 PM.,會議已安排在下週二下午 2:00 舉行。,Beginner,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",v./adj.
