word,phonetic,translation,example,example_translation,level,difficulty,topic,subtopic,exam_tags,part_of_speech
choose,/ˈtʃuz/,選擇,The manager needs to choose a new vendor for the office supplies.,經理需要為辦公用品選擇新的供應商。,toeic_basic,3,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",v.
chosen,/ˈtʃoʊzən/,被選擇的,The chosen candidate will receive a formal offer letter next week.,被選中的候選人將會在下週收到正式的錄用通知。,toeic_basic,3,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",adj.
claimed,/ˈkɫeɪmd/,聲稱,The company claimed a significant increase in profits this quarter.,該公司聲稱本季利潤大幅增加。,toeic_basic,3,Finance,Investment,"TOEIC,Reading,Part5,Part7",v.
classes,/ˈkɫæsəz/,課程,The company offers several professional development classes for its employees.,公司為員工提供多個專業發展課程。,toeic_basic,3,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",n.
cleaner,/ˈkɫinɝ/,清潔人員,The office manager hired two cleaners to ensure the workspace is spotless.,辦公室經理僱用了兩名清潔人員，以確保工作場所一塵不染。,toeic_basic,3,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",n.
clearly,/ˈkɫɪɹɫi/,明確地,The manager explained the new policy clearly to ensure everyone understood the changes.,經理清楚地向所有人解釋了新的政策，以確保每個人都理解這些變化。,toeic_basic,3,Corporate,Communication,"TOEIC,Reading,Part5,Part7",adv.
clicked,/ˈkɫɪkt/,發出咔嗒聲,The IT support team confirmed that the mouse clicked intermittently.,IT 支援團隊確認滑鼠偶爾會發出點擊聲。,toeic_basic,3,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",v.
client,/ˈkɫaɪənt/,客戶,Our company strives to build long-term relationships with its clients.,我們公司致力於與客戶建立長期的合作關係。,toeic_basic,3,Marketing,Sales,"TOEIC,Reading,Part5,Part7",n.
clients,/ˈkɫaɪənts/,客戶,Our company strives to provide excellent service to all its clients.,我們公司致力於為所有客戶提供優質服務。,toeic_basic,3,Marketing,Sales,"TOEIC,Reading,Part5,Part7",n.
closed,/ˈkɫoʊzd/,關閉的,The office will be closed for renovations next week.,辦公室下週將因裝修而關閉。,toeic_basic,3,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",adj.
closest,/ˈkɫoʊsəst/,最接近的,Please direct the client to the closest service center for faster assistance.,請將客戶指引至最近的服務中心，以便更快提供協助。,toeic_basic,3,Marketing,Sales,"TOEIC,Reading,Part5,Part7",adj.
closing,/ˈkɫoʊzɪŋ/,結束,The closing remarks of the CEO emphasized the company's commitment to innovation.,執行長在演講的結尾強調了公司對創新的承諾。,toeic_basic,3,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",n./v.
clothes,/ˈkɫoʊðz/,服裝,The company dress code requires employees to wear professional clothes during client meetings.,公司著裝規定要求員工在客戶會議期間穿著專業服裝。,toeic_basic,3,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",n.
cloudy,/ˈkɫaʊdi/,多雲的,"It's going to be cloudy tomorrow, so you might want to bring an umbrella.",明天將是陰天，所以你可能想帶把傘。,toeic_basic,3,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",adj.
coffee,/ˈkɑfi/,咖啡,The manager offered coffee to the client during the contract negotiation meeting.,經理在合約談判會議期間為客戶提供咖啡。,toeic_basic,3,Legal,Contracts,"TOEIC,Reading,Part5,Part7",n.
college,/ˈkɑɫɪdʒ/,高等教育機構，提供大學或學院層級的課程與學位，常用於企業人才培訓或招聘時的學歷要求。,Our company offers tuition reimbursement for employees who enroll in college courses related to their job.,本公司提供學費補助，讓員工就讀與工作相關的大學課程。,toeic_basic,3,HumanResources,Recruitment,"TOEIC,Reading,Part5,Part7",n.
colors,/ˈkəɫɝz/,色彩,The marketing team chose vibrant colors for the new product packaging to attract more customers.,行銷團隊為新產品包裝選擇了鮮豔的色彩，以吸引更多顧客。,toeic_basic,3,Marketing,Sales,"TOEIC,Reading,Part5,Part7",n.
coming,/ˈkəmɪŋ/,即將到來,"The quarterly report is coming next week, so please finalize your data.",季度報告下週即將發布，請務必完成您的數據。,toeic_basic,3,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",adj./adv.
common,/ˈkɑmən/,普遍的,It is common practice to confirm the meeting agenda with all participants the day before.,在會議前一天確認會議議程是常見的做法。,toeic_basic,3,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",adj.
company,/ˈkəmpəˌni/,公司,Our company is committed to providing high-quality products and services.,我們公司致力於提供高品質的產品和服務。,toeic_basic,3,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n.
concert,/ˈkɑnsɝt/,音樂會,The company is sponsoring a concert to promote its new product line.,公司贊助一場音樂會，以推廣其新產品線。,toeic_basic,3,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",n.
content,/ˈkɑntɛnt/,內容,The report outlines the content of the meeting.,這份報告概述了會議的內容。,toeic_basic,3,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n./adj.
copies,/ˈkɑpiz/,影印本,Could you please make three copies of this report for the meeting?,請幫我影印這份報告三份，以便會議使用。,toeic_basic,3,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n.
corner,/ˈkɔɹnɝ/,角落,"The company is at a critical corner, needing to adapt to the changing market trends.",公司正處於關鍵轉折點，需要適應不斷變化的市場趨勢。,toeic_basic,3,Marketing,Sales,"TOEIC,Reading,Part5,Part7",n.
costs,/ˈkɑsts/,成本,The company needs to reduce operational costs to improve profitability.,為了提高盈利能力，公司需要降低營運成本。,toeic_basic,3,Finance,Investment,"TOEIC,Reading,Part5,Part7",n./v.
counter,/ˈkaʊntɝ/,櫃檯,The receptionist is stationed at the front counter to greet visitors.,接待員位於前台接待訪客。,toeic_basic,3,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",n./v.
country,/ˈkəntɹi/,國家,Our company is expanding its operations into several new countries.,我們公司正在將業務拓展到幾個新的國家。,toeic_basic,3,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n.
couple,/ˈkəpəɫ/,一對,The hotel offers special packages for couples celebrating their anniversary.,這家飯店為慶祝週年的情侶提供特別方案。,toeic_basic,3,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n.
coupon,/ˈkjuˌpɔn/,優惠券,Customers can use this coupon for a 10% discount on their next purchase.,顧客可以使用此優惠券在下次購買時享有 10% 的折扣。,toeic_basic,3,Marketing,Sales,"TOEIC,Reading,Part5,Part7",n.
course,/ˈkɔɹs/,課程,The company offers a series of online courses to enhance employee skills.,公司提供一系列線上課程以提升員工技能。,toeic_basic,3,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",n./v.
courses,/ˈkɔɹsəz/,課程,The company offers several online courses to improve employees' project management skills.,公司提供多門線上課程，以提升員工的專案管理能力。,toeic_basic,3,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",n.
cousin,/ˈkəzən/,表兄弟姐妹,My cousin is visiting us next weekend from Canada.,我的表哥下週末會從加拿大來探望我們。,toeic_basic,3,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",n.
created,/kɹiˈeɪtəd/,創造，製作，建立，通常指經過設計或努力產生的結果。,The marketing team created a new campaign to boost sales.,行銷團隊創建了一個新的活動來提升銷售額。,toeic_basic,3,Marketing,Advertising,"TOEIC,Reading,Part5,Part7",v.
creates,/kɹiˈeɪts/,創造,The marketing team creates innovative campaigns to increase brand awareness.,行銷團隊創造創新的活動來提高品牌知名度。,toeic_basic,3,Marketing,Advertising,"TOEIC,Reading,Part5,Part7",v.
current,/ˈkɑɹənt/,目前的,The company is implementing a new software system to stay current with industry trends.,公司正在實施新的軟體系統，以跟上行業趨勢。,toeic_basic,3,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",adj./n.
damaged,/ˈdæmədʒd/,損壞的,"The shipment was significantly damaged during transit, requiring a claim with the carrier.",貨物在運輸過程中嚴重受損，需要向承運商提出理賠。,toeic_basic,3,Logistics,Transit,"TOEIC,Reading,Part5,Part7",adj.
dance,/ˈdæns/,跳舞,The company organized a celebratory dance for the team after exceeding sales targets.,在團隊超越銷售目標後，公司組織了一場慶祝舞會。,toeic_basic,3,Marketing,Sales,"TOEIC,Reading,Part5,Part7",v./n.
dancer,/ˈdænsɝ/,舞者，舞蹈家,The lead dancer captivated the audience with her elegant moves.,首席舞者以她優雅的舞步吸引了觀眾。,toeic_basic,3,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",n.
dancing,/ˈdænsɪŋ/,跳舞,The company organized a team-building event featuring dancing and music.,公司組織了一場團隊建設活動，內容包括跳舞和音樂表演。,toeic_basic,3,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n./v.
danger,/ˈdeɪndʒɝ/,危險,The department implemented innovative danger procedures to improve operational efficiency.,部門實施創新的danger程序以提高營運效率。,toeic_basic,3,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",n.
debt,/ˈdɛt/,債務,The company is struggling with a large amount of debt.,這家公司正為巨額債務所苦。,toeic_basic,3,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",n.
decades,/ˈdɛkeɪdz/,數十年,The company has experienced significant growth over the past few decades.,這家公司在過去幾十年裡經歷了顯著的增長。,toeic_basic,3,Corporate,Operations,"TOEIC,Reading,Part5,Part7",n.
decides,/ˌdɪˈsaɪdz/,決定,The board of directors decides on the company's new marketing strategy.,董事會決定公司的全新行銷策略。,toeic_basic,3,CorporateGovernance,BoardOfDirectors,"TOEIC,Reading,Part5,Part7",v.
degree,/dɪˈɡɹi/,學位,She holds a degree in Business Administration from a prestigious university.,她擁有來自一所名牌大學的工商管理學位。,toeic_basic,3,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",n.
degrees,/dɪˈɡɹiz/,學位,He holds a Master's degree in Business Administration.,他擁有工商管理碩士學位。,toeic_basic,3,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n.
delays,/dɪˈɫeɪz/,延遲,We apologize for the delays in processing your order due to unforeseen circumstances.,由於不可預見的情況，我們為處理訂單的延遲表示歉意。,toeic_basic,3,Corporate,Logistics,"TOEIC,Reading,Part5,Part7",n.
delicious,/dɪˈɫɪʃəs/,美味的,"The new menu items received many compliments for being delicious, which helped increase the restaurant's sales.",新菜單項目因美味而受到許多讚賞，進而提升了餐廳的銷售額。,toeic_basic,3,Marketing,Sales,"TOEIC,Reading,Part5,Part7",adj.
departing,/dɪˈpɑɹtɪŋ/,即將離開,The departing flight to London is scheduled for 7:00 AM.,前往倫敦的班機預計早上 7:00 起飛。,toeic_basic,3,Travel,Transit,"TOEIC,Reading,Part5,Part7",adj./v.
depends,/dɪˈpɛndz/,取決於,The project's success depends on securing funding by the end of the quarter.,專案的成功取決於在季末前獲得資金。,toeic_basic,3,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",v./adj.
designs,/dɪˈzaɪnz/,設計方案,The marketing team is currently reviewing several designs for the new product packaging.,行銷團隊目前正在審查多個新產品包裝設計方案。,toeic_basic,3,Marketing,Sales,"TOEIC,Reading,Part5,Part7",n.
desktop,/ˈdɛskˌtɑp/,桌面電腦,The IT department is responsible for maintaining all desktops in the office.,資訊部門負責維護辦公室內的所有桌面電腦。,toeic_basic,3,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",n.
despite,/dɪˈspaɪt/,儘管,"Despite the challenging market conditions, the company reported a significant increase in profits.",儘管市場環境充滿挑戰，該公司仍報告了顯著的利潤增長。,toeic_basic,3,Finance,Investment,"TOEIC,Reading,Part5,Part7",preposition/conjunction
details,/ˈditeɪɫz/,細節,Please review the contract details carefully before signing.,請在簽署合約前仔細審閱合約的細節。,toeic_basic,3,Legal,Contracts,"TOEIC,Reading,Part5,Part7",n.
devices,/dɪˈvaɪsəz/,設備,"The IT department is responsible for maintaining all company devices, including computers and smartphones.",資訊部門負責維護公司所有設備，包括電腦和智慧型手機。,toeic_basic,3,Manufacturing,Production,"TOEIC,Reading,Part5,Part7",n.
digital,/ˈdɪdʒətəɫ/,指利用電子或電腦技術處理的資訊或資料，強調數位化，電子化的特性。,Our company is transitioning to a digital marketing strategy to reach a wider audience.,我們公司正在轉向數位行銷策略，以接觸更廣泛的受眾。,toeic_basic,3,Logistics,Transit,"TOEIC,Reading,Part5,Part7",adj./n.
direct,/daɪˈɹɛkt/,直接的,Please direct your questions to the project manager.,請將您的問題直接傳達給專案經理。,toeic_basic,3,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",adj./v.
directions,/daɪˈɹɛkʃɪnz/,指示,Could you give me directions to the nearest subway station?,請問您能告訴我到最近地鐵站的路線嗎？,toeic_basic,3,Travel,Transit,"TOEIC,Reading,Part5,Part7",n.
discuss,/dɪˈskəs/,討論,Let's discuss the project timeline in the meeting this afternoon.,我們今天下午的會議上來討論專案進度。,toeic_basic,3,Corporate,Communication,"TOEIC,Reading,Part5,Part7",v.
display,/dɪsˈpɫeɪ/,展示,The conference room is equipped with a large screen to display the presentation slides.,會議室配備了大型螢幕，用於顯示簡報投影片。,toeic_basic,3,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",v./n.
doctor,/ˈdɑktɝ/,醫生,"The company provides comprehensive health insurance, including coverage for doctors' visits.",公司提供全面的健康保險，包括就診醫生的費用。,toeic_basic,3,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n.
doctors,/ˈdɑktɝz/,醫生,"The company provides comprehensive health insurance coverage for its employees, including access to doctors and specialists.",公司為員工提供全面的健康保險給付，包括獲得醫生和專科醫生的機會。,toeic_basic,3,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",n.
double,/ˈdəbəɫ/,兩倍的,The company experienced a double increase in profits this quarter.,本季公司利潤呈現兩倍增長。,toeic_basic,3,Finance,Investment,"TOEIC,Reading,Part5,Part7",adj./adv.
drawing,/ˈdɹɔɪŋ/,繪圖,The architect presented detailed drawings of the new office building to the client.,建築師向客戶展示了新辦公大樓的詳細設計圖。,toeic_basic,3,Marketing,Sales,"TOEIC,Reading,Part5,Part7",n.
drinking,/ˈdɹɪŋkɪŋ/,飲用行為,The company is offering complimentary drinking water for all attendees at the conference.,公司在會議中為所有與會者提供免費飲用水。,toeic_basic,3,Travel,Dining,"TOEIC,Reading,Part5,Part7",v./n.
dropped,/ˈdɹɑpt/,掉落,The company's stock price dropped significantly after the announcement of the disappointing earnings report.,在發布令人失望的盈利報告後，該公司的股價顯著下跌。,toeic_basic,3,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",v./adj.
during,/ˈdɝɪŋ/,在...期間,She fell asleep during the movie.,她在電影期間睡著了。,toeic_basic,3,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",preposition
duties,/ˈdutiz/,職責,"As a project manager, her duties include overseeing the team and ensuring deadlines are met.",身為專案經理，她的職責包括監督團隊並確保達成期限。,toeic_basic,3,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n.
easier,/ˈiziɝ/,較容易的,The new software makes data entry easier for the accounting team.,新軟體讓會計團隊的資料輸入變得更簡單。,toeic_basic,3,Finance,Investment,"TOEIC,Reading,Part5,Part7",adj.
easily,/ˈizəɫi/,輕而易舉地,The new software allows employees to complete their tasks easily.,新的軟體讓員工可以輕鬆地完成他們的任務。,toeic_basic,3,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",adv.
effect,/ˈifɛkt/,影響，結果,The new policy had a positive effect on employee morale.,新政策對員工士氣產生了積極影響。,toeic_basic,3,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",n./v.
effort,/ˈɛfɝt/,努力,The team put in a lot of effort to meet the project deadline.,團隊付出了很多努力來趕上專案截止日期。,toeic_basic,3,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n./v.
efforts,/ˈɛfɝts/,努力,The company appreciates all employees' efforts to improve productivity.,公司感謝所有員工為了提升生產力所做的努力。,toeic_basic,3,Manufacturing,Production,"TOEIC,Reading,Part5,Part7",n.
eighth,/ˈeɪtθ/,第八,The eighth floor houses the marketing department.,八樓設有市場部。,toeic_basic,3,Marketing,Sales,"TOEIC,Reading,Part5,Part7",adj./adv.
eighty,/ˈeɪti/,八十,She is eighty years old and still enjoys hiking.,她八十歲了，但仍然喜歡健行。,toeic_basic,3,Corporate,Communication,"TOEIC,Reading,Part5,Part7",numeral/adj.
either,/ˈaɪðɝ/,任何一個,You can choose either the blue shirt or the green one.,你可以選擇藍色襯衫或綠色襯衫。,toeic_basic,3,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",determiner/pronoun
eleven,/ˈiɫɛvən/,十一,The project is scheduled to be completed in eleven weeks.,這個專案預計在十一週內完成。,toeic_basic,3,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n./adj.
energy,/ˈɛnɝdʒi/,活力，能量,The company is investing in renewable energy sources to reduce its carbon footprint.,該公司正在投資可再生能源，以減少碳足跡。,toeic_advanced,2,Finance,Investment,"TOEIC,Reading,Part5,Part7",n.
enjoyed,/ˌɛnˈdʒɔɪd/,享受,The team enjoyed the opportunity to collaborate on this project.,團隊很享受這次合作專案的機會。,toeic_advanced,2,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",v.
enjoys,/ˌɛnˈdʒɔɪz/,享受,The team enjoys working on challenging projects that allow them to expand their skills.,團隊喜歡處理能讓他們拓展技能的具有挑戰性的專案。,toeic_advanced,2,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",v.
enough,/iˈnəf/,足夠的,The budget is not enough to cover all the project expenses.,預算不足以涵蓋所有專案費用。,toeic_advanced,2,Finance,Investment,"TOEIC,Reading,Part5,Part7",adj./adv.
entire,/ɪnˈtaɪɝ/,全部的,The company decided to overhaul its entire IT infrastructure.,公司決定全面更新其整個 IT 基礎架構。,toeic_advanced,2,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",adj./adv.
errors,/ˈɛɹɝz/,錯誤,The report contained several errors that needed to be corrected before submission.,報告包含幾個需要提交前修正的錯誤。,toeic_advanced,2,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n.
evening,/ˈivnɪŋ/,傍晚; 晚上; 黃昏,I have a meeting scheduled for this evening at 7 PM.,我今晚七點有一個會議。,toeic_advanced,2,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n./adj.
events,/iˈvɛnts/,活動，事件,The company is hosting a series of events to promote its new product line.,公司正在舉辦一系列活動以推廣其新產品線。,toeic_advanced,2,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",n.
exactly,/ɪɡˈzæktɫi/,確切地,Could you please specify exactly what you need for the project?,請您能確切說明您在專案中需要什麼嗎？,toeic_advanced,2,Manufacturing,Production,"TOEIC,Reading,Part5,Part7",adv.
example,/ɪɡˈzæmpəɫ/,範例,Could you provide an example of how the new software improves efficiency?,您能舉例說明新軟體如何提高效率嗎？,toeic_advanced,2,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",n.
except,/ɪkˈsɛpt/,除…之外,"All employees must submit their expense reports by Friday, except those who are on approved leave.",所有員工必須在星期五前提交費用報告，除非已獲批准的休假者。,toeic_advanced,2,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",preposition/conjunction
excite,/ɪkˈsaɪt/,激發，引起,The new marketing campaign is expected to excite potential customers.,新的行銷活動預計會激發潛在客戶的興趣。,toeic_advanced,2,Marketing,Advertising,"TOEIC,Reading,Part5,Part7",v.
excited,/ɪkˈsaɪtəd/,感到興奮，雀躍的,The team was excited to hear about the new project and its potential for growth.,團隊聽到這個新項目及其增長潛力，感到非常興奮。,toeic_advanced,2,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",adj.
excuse,/ɪkˈskjus/,藉口,I'm sorry I'm late; traffic was terrible – please excuse me.,我很抱歉遲到，交通狀況很糟糕，請原諒我。,toeic_advanced,2,Corporate,Communication,"TOEIC,Reading,Part5,Part7",n./v.
experts,/ˈɛkspɝts/,專家,Our team consulted with industry experts to ensure the project's feasibility.,我們團隊諮詢了業界專家，以確保專案的可行性。,toeic_advanced,2,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",n.
facing,/ˈfeɪsɪŋ/,面臨,The company is facing increased competition in the global market.,該公司正面臨全球市場中日益激烈的競爭。,toeic_advanced,2,Marketing,Sales,"TOEIC,Reading,Part5,Part7",v./adj.
factory,/ˈfæktɝi/,工廠,The company is investing in new equipment for its factory to increase production efficiency.,該公司正在工廠投資新設備，以提高生產效率。,toeic_advanced,2,Manufacturing,Production,"TOEIC,Reading,Part5,Part7",n.
failed,/ˈfeɪɫd/,未通過,"Despite extensive training, several candidates failed the certification exam.",儘管經過廣泛的培訓，幾個候選人未能通過認證考試。,toeic_advanced,2,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",v.
failure,/ˈfeɪɫjɝ/,未能達到預期目標或標準的結果,"Despite the initial product launch failure, the company is determined to learn from its mistakes and improve.",儘管首次產品發布失敗，但公司決心從錯誤中學習並改進。,toeic_advanced,2,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",n.
falling,/ˈfɑɫɪŋ/,下降,The company's profits are falling due to increased competition.,由於競爭加劇，該公司的利潤正在下降。,toeic_advanced,2,Finance,Investment,"TOEIC,Reading,Part5,Part7",v./adj.
family,/ˈfæməɫi/,家庭,She comes from a large family with five siblings.,她來自一個有五個兄弟姊妹的大家庭。,toeic_advanced,2,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",n.
famous,/ˈfeɪməs/,廣為人知的,The company aims to become a famous brand in the global market.,該公司旨在成為全球市場上一個廣為人知的品牌。,toeic_advanced,2,Marketing,Sales,"TOEIC,Reading,Part5,Part7",adj.
father,/ˈfɑðɝ/,父親,My father taught me how to ride a bicycle.,我的父親教我如何騎自行車。,toeic_advanced,2,Corporate,Communication,"TOEIC,Reading,Part5,Part7",n./v.
feature,/ˈfitʃɝ/,特色,"The new software boasts several key features, including enhanced security and improved user interface.",這款新軟體擁有幾個關鍵特色，包括增強的安全性以及改進的使用者介面。,toeic_advanced,2,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n./v.
fee,/ˈfi/,費用,The conference registration fee includes access to all sessions and materials.,會議報名費用包含所有會議和資料的存取權。,toeic_advanced,2,Finance,Accounting,"TOEIC,Reading,Part5,Part7",n.
fees,/ˈfiz/,費用,The company charges processing fees for each international transaction.,公司對每筆國際交易收取處理費用。,toeic_advanced,2,Finance,Accounting,"TOEIC,Reading,Part5,Part7",n./v.
female,/ˈfiˌmeɪɫ/,女性,The company aims to increase the proportion of female employees in management positions by 20% within three years.,公司目標在三年內將管理層女性員工的比例提升 20%。,toeic_advanced,2,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",n./adj.
fence,/ˈfɛns/,圍欄,The company is installing a new fence around the warehouse to improve security.,公司正在倉庫周圍安裝新的圍欄以提高安全性。,toeic_advanced,2,Logistics,Transit,"TOEIC,Reading,Part5,Part7",n./v.
fifteen,/ˈfɪfˈtin/,十五,The project deadline is in fifteen days.,專案截止日期是十五天後。,toeic_advanced,2,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",adj./n.
fifty,/ˈfɪfti/,五十,The budget for this project is fifty thousand dollars.,這個專案的預算為五十萬美元。,toeic_advanced,2,Finance,Investment,"TOEIC,Reading,Part5,Part7",adj./n.
filled,/ˈfɪɫd/,填滿的,The report indicated that all the positions were filled by qualified candidates.,報告顯示，所有職位都已由合格的候選人填補。,toeic_advanced,2,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",adj.
finally,/ˈfaɪnəɫi/,最終，終於,"Finally, we will implement the new pricing strategy starting next quarter.",最後，我們將於下季度開始實施新的定價策略。,toeic_advanced,2,Corporate,Meetings,"TOEIC,Reading,Part5,Part7",adv.
finger,/ˈfɪŋɡɝ/,手指,Please point to the relevant section on the document with your finger.,請用手指指向文件中的相關部分。,toeic_advanced,2,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",n.
finish,/ˈfɪnɪʃ/,完成,Please finish the report by the end of the day.,請在今天結束前完成這份報告。,toeic_advanced,2,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",v.
floors,/ˈfɫɔɹz/,樓層,The meeting will be held on the tenth floor of the office building.,會議將在辦公大樓的十樓舉行。,toeic_advanced,2,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n.
flower,/ˈfɫaʊɝ/,鮮花,The company is offering a special promotion: a bouquet of flowers with every purchase over $100.,公司推出特別促銷活動：所有購買額超過 100 美元的客戶都可獲得一束鮮花。,toeic_advanced,2,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",n.
flowers,/ˈfɫaʊɝz/,鮮花,The company is offering a special promotion: buy one bouquet of flowers and get a discount on a gift basket.,公司推出特別促銷活動：購買一束鮮花即可獲得禮品籃折扣。,toeic_advanced,2,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",n.
folder,/ˈfoʊɫdɝ/,文件夾,Please save the presentation files in the 'Marketing' folder.,請將簡報檔案儲存在「行銷」資料夾中。,toeic_advanced,2,Marketing,Sales,"TOEIC,Reading,Part5,Part7",n.
folders,/ˈfoʊɫdɝz/,文件資料夾,Please organize all the project documents into separate folders.,請將所有專案文件整理到不同的資料夾中。,toeic_advanced,2,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n.
follow,/ˈfɑɫoʊ/,依照指示或指導,Please follow the instructions carefully when assembling the product.,組裝產品時，請務必仔細遵循指示。,toeic_advanced,2,Manufacturing,Production,"TOEIC,Reading,Part5,Part7",v.
follows,/ˈfɑɫoʊz/,依照,Please follow the instructions carefully to complete the registration process.,請仔細按照指示完成註冊流程。,toeic_advanced,2,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",v.
foreign,/ˈfɑɹən/,外來的,The company is expanding its operations into foreign markets.,該公司正在將其業務擴展到海外市場。,toeic_advanced,2,Marketing,Sales,"TOEIC,Reading,Part5,Part7",adj.
forest,/ˈfɔɹəst/,森林,The company is exploring the possibility of acquiring land with a large forest for sustainable timber production.,公司正在探討收購擁有大片森林的土地的可能性，以進行可持續的木材生產。,toeic_advanced,2,Manufacturing,Production,"TOEIC,Reading,Part5,Part7",n.
forever,/fɝˈɛvɝ/,永遠,We are committed to providing excellent customer service forever.,我們承諾永遠提供優質的客戶服務。,toeic_advanced,2,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",adv.
forget,/fɝˈɡɛt/,忘記,Please do not forget to submit the quarterly report by Friday.,請務必在星期五前提交季報。,toeic_advanced,2,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",v.
forgot,/fɝˈɡɑt/,忘記,I forgot to include the attachment in the email.,我忘了在電子郵件中附加附件。,toeic_advanced,2,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",v.
formal,/ˈfɔɹməɫ/,正式的,The meeting requires a formal dress code.,會議要求著裝正式。,toeic_advanced,2,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",adj.
fourth,/ˈfɔɹθ/,第四,The project is currently in its fourth phase of development.,這個專案目前正處於開發的第四階段。,toeic_advanced,2,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",adj./adv.
freedom,/ˈfɹidəm/,自由,The company values the freedom of expression among its employees.,公司重視員工表達的自由。,toeic_advanced,2,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",n.
friday,/ˈfɹaɪˌdeɪ/,星期五，工作週的第五天，通常是週末前夕。,The deadline for the project proposal is Friday.,專案提案的截止日期是星期五。,toeic_advanced,2,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n.
fridays,/ˈfɹaɪˌdeɪz/,星期五,Our team usually has a project review meeting every Friday afternoon.,我們團隊通常在每週五下午舉行專案審查會議。,toeic_advanced,2,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n.
